atomic_ea_max,atomic_en_allredroch_sum,atomic_radius_max,atomic_radius_calculated_max,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,Z_sum,phase_disambiguated
22.4,1.632,28.0,32.2,36.0,27.8,125.8,28.8,16.4,47.76000000000001,-670289.8400000001,-125.3474,23.8,spinel
8.0016,1.228214,70.0,88.0,55.0,68.0,154.0658,20.0,22.0,43.8845,-598013.7121599999,-98.0117651,32.5003500350035,perovskite
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
10.0,1.072,37.0,47.6,8.8,32.4,32.4,18.8,5.600000000000001,55.92,-762119.38,-129.19,60.40000000000001,others
20.55,1.151375,77.5,103.0,4.649999999999999,74.0,102.9625,21.65,16.5,44.46041666666667,-548729.9,-96.7685,49.925,pyrochlore
20.55,1.154625,77.5,103.0,4.6125,74.0,111.2375,21.65,16.5,44.63958333333333,-548729.9,-96.7685,48.475,pyrochlore
20.55,1.15625,77.5,103.0,5.125,74.0,115.375,21.65,16.5,44.72916666666666,-548729.9,-96.7685,47.75,pyrochlore
20.55,1.15625,77.5,103.0,5.125,74.0,115.375,21.65,16.5,53.675,-548729.9,-96.7685,47.75,pyrochlore
10.0,1.118,39.0,46.6,8.0,33.8,63.40000000000001,26.2,6.600000000000001,56.0,-752270.86,-119.7178,57.2,fluorite
5.960000000000001,1.165,70.0,88.0,55.0,68.0,154.7,20.0,22.0,43.15,-472374.45,-92.6665,28.4,perovskite
20.3616,1.659095,25.452,30.1788,32.742,25.2702,128.5452,26.1792,20.907,40.3939,-409796.9980199999,-99.7403886,26.2728,spinel
19.7136,1.66665,23.338,27.6722,30.006,23.1713,129.3316,24.0048,19.1705,40.33346666666666,-375759.9536299999,-91.4561209,26.4995,spinel
10.0,1.086,39.0,47.6,8.8,33.8,33.8,18.8,5.600000000000001,57.6,-759138.6200000001,-123.0282,62.6,others
10.0,1.094,39.0,47.6,8.8,33.8,33.8,26.2,5.600000000000001,56.96,-759138.6200000001,-123.0282,63.40000000000001,others
10.0,1.094,39.0,47.6,8.8,33.8,66.2,18.8,5.600000000000001,56.8,-762119.38,-123.0282,58.40000000000001,others
20.55,1.163,77.5,103.0,4.800000000000001,74.0,106.2,21.65,16.5,43.83333333333334,-548729.9,-96.7685,51.2,fluorite
